"WID","login_count","level","playcount_sum","playtime_sum","recent_date","mode"
W10030,367,48,14,7827,2022-01-23,1
W10030,367,48,172,174639,2023-06-10,3
W10030,367,48,324,346349,2023-06-27,4
W10038,3400,57,2828,1114375,2023-06-30,3
W10038,3400,57,1319,423733,2023-06-30,5
W10038,3400,57,325,114187,2023-06-30,1
W10038,3400,57,15,9765,2022-11-11,4
W10040,3950,56,1506,810748,2023-06-30,3
W10040,3950,56,1109,347632,2023-06-30,5
W10040,3950,56,241,84118,2023-06-28,1
W10040,3950,56,113,83494,2023-05-08,4
W10088,2720,53,1199,698670,2023-06-28,3
W10088,2720,53,1207,413579,2023-06-29,5
W10088,2720,53,345,153880,2023-06-29,1
W10088,2720,53,82,75968,2023-06-27,4
W10120,1119,51,443,149375,2023-06-19,5
W10120,1119,51,1136,685813,2023-06-09,3
W10120,1119,51,32,11298,2023-01-23,1
W10120,1119,51,29,18009,2022-09-09,4
W10130,776,52,49,15788,2023-05-30,1
W10130,776,52,34,9767,2023-05-15,5
W10130,776,52,1038,628148,2023-06-30,3
W10130,776,52,14,11289,2023-05-17,4
W10160,672,47,437,372592,2022-09-16,3
W10160,672,47,202,197040,2022-09-17,4
W10160,672,47,298,96885,2022-09-17,5
W10160,672,47,39,12886,2022-09-17,1
W10164,1205,57,666,175816,2023-06-24,5
W10164,1205,57,1919,972965,2023-06-19,3
W10164,1205,57,21,17158,2022-12-02,4
W10164,1205,57,10,3660,2023-06-01,1
W10254,717,47,769,652680,2022-06-13,3
W10254,717,47,208,63510,2022-06-15,5
W10254,717,47,72,40086,2022-06-15,1
W10254,717,47,57,31545,2022-05-17,4
W10305,1066,49,1077,474663,2022-06-04,3
W10305,1066,49,525,104617,2022-06-04,1
W10305,1066,49,1038,459191,2022-06-03,5
W10305,1066,49,159,25208,2022-05-18,4
W10379,2311,65,5145,2414791,2023-06-30,3
W10379,2311,65,24,6302,2023-06-30,5
W10379,2311,65,2,548,2023-06-19,4
W10379,2311,65,2,2804,2023-06-30,1
W10380,2923,59,2192,1581728,2023-06-04,3
W10380,2923,59,435,145745,2023-06-04,1
W10380,2923,59,2062,756105,2023-06-03,5
W10380,2923,59,150,100675,2022-12-30,4
W10386,30227,59,1586,1204242,2022-12-21,3
W10386,30227,59,2,196,2022-01-16,1
W10386,30227,59,1478,1329642,2022-12-29,4
W10386,30227,59,2,573,2022-01-23,5
W10398,4628,57,2198,1036055,2023-06-23,3
W10398,4628,57,3412,1219711,2023-06-23,5
W10398,4628,57,117,46167,2023-06-18,1
W10398,4628,57,61,34673,2023-04-26,4
W10398,4628,57,2,1912,2023-06-13,2
W10428,914,52,945,767622,2023-06-09,3
W10428,914,52,93,26839,2023-02-26,5
W10428,914,52,22,24051,2023-02-22,4
W10428,914,52,2,946,2022-07-17,1
W10455,1836,55,1639,1066676,2023-03-13,3
W10455,1836,55,120,67510,2022-09-13,4
W10455,1836,55,9,6791,2023-01-22,1
W10455,1836,55,23,11144,2023-01-22,5
W10475,1211,48,106,87396,2022-05-25,4
W10475,1211,48,549,182884,2022-06-20,5
W10475,1211,48,496,336938,2022-06-25,3
W10475,1211,48,33,9768,2022-06-19,1
W10512,547,49,10,8287,2022-02-23,4
W10512,547,49,576,424689,2022-07-15,3
W10512,547,49,1085,334015,2022-07-16,5
W10512,547,49,28,9958,2022-06-17,1
W10531,1771,54,4,2444,2022-07-28,4
W10531,1771,54,896,560385,2023-06-03,3
